"Artikelnummer";"Artikelbeschreibung";"Menge";"Einzelpreis";"Rabatt in %";"RechnungsNr"
49;"Farbe";0,50;64,00;0;10038
50;"AU";1,00;60,00;0;10038
51;"TÜV-Gebühr";1,00;75,86;0;10038
52;"Schweißmaterial";1,00;20,00;0;10038
53;"Bremsbackensatz";1,00;98,00;0;10038
54;"Lenkung eingestellt";1,00;0,00;0;10038
55;"Bremsbacken hinten erneuert und eingestellt";1,00;0,00;0;10038
56;"Schweißarbeiten ausgeführt";1,00;0,00;0;10038
57;"Bremsleitungen vorn links und rechts gereinigt";1,00;0,00;0;10038
58;"Kaltstartzug eingestellt";1,00;0,00;0;10038
59;"Leichtmetallfelgen  Rial Viper E
Leichtmetallfelgen Rial Viper E";4,00;125,00;0;
60;"Winterreifen Conti 790 195/65R15T
Winterreifen Conti 195/65R15T";4,00;138,00;0;
61;"Wuchten und Montage";4,00;10,00;0;10039
62;"Leichtmetallfelgen Rial Viper E";4,00;125,00;0;10039
63;"Winterreifen Conti 790 195/65R15T";4,00;138,00;0;10039
64;"Motoröl";4,25;11,50;0;10040
65;"Motoröl und Filter gewechselt";0,00;0,00;0;10040
66;"Motoröl";3,00;9,80;0;10041
67;"Ventilfeder";1,00;22,00;0;10041
68;"AU";1,00;60,00;0;10041
69;"AU ausgeführt";0,00;0,00;0;10041
70;"Motoröl geprüft und aufgefüllt";0,00;0,00;0;10041
71;"Motordruckverlusttest ausgeführt";0,00;0,00;0;10041
72;"Ventilfeder vom 2.Zylinder erneuert";0,00;0,00;0;10041
73;"Leerlauffüllmenegenregler gereinigt";0,00;0,00;0;10042
74;"ASU ausgeführt";0,00;0,00;0;10074
75;"Amaturenbelechtung instandgesetzt";0,00;0,00;0;10074
76;"Kühler ausgewechselt
Kühler ausgewechselt";0,00;0,00;0;10074
77;"Fahrzeug TÜV fertiggestellt und vorgeführt";0,00;0,00;0;10074
78;"Achsmanschettensatz";1,00;32,50;0;10075
79;"Bremsklötze vorn";1,00;172,00;0;10075
80;"Bremsklötze vorn erneuert";0,00;0,00;0;10075
81;"Achsmanschette vorn rechts erneuert";0,00;0,00;0;10075
82;"Winterreifen (Dunlop 185/60R14T)";4,00;102,00;0;10076
83;"Wuchten und Montage";4,00;10,00;0;10076
84;"Winterreifen aufgezogen und gewuchtet";0,00;0,00;0;10076
85;"Buchsen";2,00;44,95;0;10077
86;"Querlenkerbuchsen links und rechts neu eingepreßt";0,00;0,00;0;10077
87;"Halbwelle";1,00;260,00;0;10078
88;"Motorola XtraPac";1,00;56,04;0;10080
89;"TÜV-Gebühr";1,00;53,45;0;10081
90;"Bremsscheiben";2,00;135,00;0;10082
91;"Bremsscheiben vorn erneuert";0,00;0,00;0;10082
92;"Winterreifen 145R13T13 Vredestein incl.Montage";1,00;296,55;0;10083
93;"Winterreifen erneuert";0,00;0,00;0;10083
94;"Reifen 165/70R13 Lassa";4,00;66,00;0;10084
95;"Bremsbacken";1,00;69,00;0;10084
96;"Radbremszylinder";2,00;68,00;0;10084
97;"AU";1,00;45,00;0;10084
98;"TÜV-Gebühr";1,00;75,86;0;10084
99;"Handbremsseile";2,00;24,00;0;10084
100;"Reifen vorn und hinten erneuert";0,00;0,00;0;10084
101;"Radbremszylinder und Bremsbacken hinten erneuert";0,00;0,00;0;10084
102;"Handbremsseil links und rechts erneuert";0,00;0,00;0;10084
103;"AU ausgeführt";0,00;0,00;0;10084
104;"Fahrzeug TÜV fertiggestellt und vorgeführt";0,00;0,00;0;10084
105;"Windschutzscheibengummi";1,00;39,65;0;10086
106;"Windschutzscheibe Klar";1,00;126,00;0;10086
107;"Windschutzscheibe erneuert";0,00;0,00;0;10086
108;"Schließzylinder";1,00;13,85;0;10085
109;"Schließzylinder an Fahrertür erneuert";0,00;0,00;0;10085
110;"Ölfilter";1,00;8,90;0;10088
111;"Motoröl";3,00;10,50;0;10088
112;"Gaspedal (gebraucht)";1,00;15,00;0;10088
113;"Motoröl und Filter gewechselt";0,00;0,00;0;10088
114;"Gaspedal gewechselt";0,00;0,00;0;10088
115;"Abdeckung";1,00;4,60;0;10089
116;"Kühlerfrostschutz";1,00;5,80;0;10089
117;"Abdeckung am Schalthebel erneuert";0,00;0,00;0;10089
118;"Kühlerfrostschutz aufgefüllt";0,00;0,00;0;10089
119;"Keilriemen";1,00;8,50;0;10090
120;"Keilriemen an der Servopumpe erneuert";0,00;0,00;0;10090
121;"Abdeckung";1,00;4,80;0;10091
122;"Kühlerfrostschutz";4,00;5,80;0;10091
123;"Wasserpumpe";1,00;189,50;0;10091
124;"Abdeckung am Schalthebel erneuert";0,00;0,00;0;10091
125;"Wasserpumpe geprüft und erneuert";0,00;0,00;0;10091
126;"Reifen (Lassa 155R13T)";2,00;65,00;0;10092
127;"Batterie 12V36AH";1,00;64,00;0;10092
128;"Wuchten und Montage";2,00;11,50;0;10092
129;"Reifen erneuert und gewuchtet
Reifen erneuert und gewuchtett";0,00;0,00;0;10092
130;"Batterie geprüft und erneuert";0,00;0,00;0;10092
131;"Scheibeneinklebeset";1,00;89,00;0;10093
132;"Leiste";2,00;102,00;0;10093
133;"Windschutzscheibe mit Grünkeil";1,00;365,00;0;10093
134;"Altglasentsorgung";1,00;11,00;0;10093
135;"Windschutzscheibe erneuert";0,00;0,00;0;10093
136;"Lichtschalter";1,00;38,50;0;10094
137;"Kabelwanne am Sicherungskasten";1,00;29,00;0;10094
138;"Kleinteile
Kleinteile";1,00;50,00;0;10094
139;"Kabelbrand beseitigt und Kabel neu verlegt";0,00;0,00;0;10094
140;"Ölfilter";1,00;22,00;0;10095
141;"Motoröl";4,00;12,50;0;10095
142;"Frostschutz Waschanl.";1,00;6,00;0;10095
143;"Twin.-Tec Anlage";1,00;375,00;10;10096
606;"Haube
Motorhaube";1,00;358,00;0;10140
607;"Kotflügel links";1,00;165,00;0;10140
608;"Stoßfänger vorn";1,00;365,00;0;10140
609;"Verstärkung";1,00;164,00;0;10140
610;"Kühlergrilleinsatz";1,00;52,00;0;10140
611;"Blend Kühlergrill";1,00;41,00;0;10140
612;"Doppelscheinwerfer";1,00;236,00;0;10140
613;"Leuchtweitenregelung";1,00;83,00;0;10140
614;"Nebelscheinwerfer";1,00;165,00;0;10140
615;"Blinkleuchte";1,00;28,50;0;10140
616;"Querträger unten";1,00;167,00;0;10140
617;"Radhausschale";1,00;29,60;0;10140
618;"Scheinwerferblendensatz  Kamei";1,00;68,00;0;10140
619;"Kennzeichen";1,00;35,00;0;10140
620;"Kleinteile";1,00;30,00;0;10140
621;"Hohlraumvers. und  Unterbodenschutz";1,00;40,00;0;10140
622;"Leihwagen  VW Passat v.29.01.bis 03.02.01";6,00;85,00;0;10141
623;"Startschwierigkeiten beseitigt";0,00;0,00;0;10142
624;;;0,00;0;10142
625;;;0,00;0;10142
626;;;0,00;0;10142
627;"Unfallschaden hinten links beseitigt";0,00;0,00;0;10143
628;"Seitenteil am Radlauf ausgebeult und lackiert";0,00;0,00;0;10143
629;"Tür hinten links ausgebeult und lackiert";0,00;0,00;0;10143
630;"Inspektion ausgeführt";0,00;0,00;0;10144
631;"Motoröl und Filter gewechselt
Motoröl und Filter gewechselt";0,00;0,00;0;10144
632;"Bremsklötze vorn und hinten erneuert";0,00;0,00;0;10144
633;"Zündkerzen geprüft und erneuert";0,00;0,00;0;10144
634;"Motoröl 10/40 Leichtlauföl";5,00;12,50;0;10144
635;"Ölfilter";1,00;14,00;0;10144
636;"Zündkerzen";6,00;11,50;0;10144
637;"Bremsklötze  vorn";1,00;156,00;20;10144
638;"Bremsklötze hinten";1,00;87,00;20;10144
639;"Motoröl und Filter gewechselt";0,00;0,00;0;10145
640;"Bremsklötze und Bremsscheiben vorn erneuert";0,00;0,00;0;10145
641;"Bremsklötze und Bremsscheiben hinten erneuert";0,00;0,00;0;10145
642;"Motoröl 10/40";3,50;12,00;0;10145
643;"Ölfilter";1,00;12,50;0;10145
644;"Bremsklötze vorn";1,00;122,00;0;10145
645;"Bremsklötze hinten";1,00;91,00;0;10145
646;"Bremsscheiben vorn";2,00;88,00;0;10145
647;"Bremsscheiben hinten";2,00;86,00;0;10145
648;"Hydraliköl";2,00;9,80;0;10146
649;"Bremsbacken hinten erneuert";0,00;0,00;0;10147
650;"Radbremszylinder hinten links erneuert";0,00;0,00;0;10147
651;"Reifen vorn rechts umgezogen";0,00;0,00;0;10147
652;"Bremsbacken";1,00;70,00;0;10147
653;"Radbremszylinder";1,00;77,00;0;10147
654;"Wuchten und Montage";1,00;15,00;0;10147
655;"Steuerriemen erneuert";0,00;0,00;0;10148
656;"Steuerriemensatz";1,00;234,00;0;10148
657;"Unfallschaden hinten links beseitigen";0,00;0,00;0;10149
658;"Tür und Seitenteil hinten links erneuern";0,00;0,00;0;10149
659;"Windschutzscheibe erneuern";0,00;0,00;0;10149
660;"Tür hi li.";1,00;666,70;0;10149
661;"Seitenteil";1,00;431,03;0;10149
662;"Windschutzscheibe";1,00;456,80;0;10149
663;"Scheibeneinklebeset";2,00;82,00;0;10149
664;"Kleinteile";1,00;40,00;0;10149
665;"Hohlr.vers. Und U-Schutz";1,00;50,00;0;10149
666;"Achsvermessung";1,00;105,00;0;10149
667;"Türscheibe gebraucht";1,00;40,00;0;10150
668;"Unfallschaden vorn instandgesetzt";0,00;0,00;0;10151
669;"Fahrzeug auf Richtbank gesetzt";0,00;0,00;0;10151
670;"Radhaus und Verstärkung links erneuert";0,00;0,00;0;10151
671;"Motorhaube,Kotflügel und Stoßfänger erneuert";0,00;0,00;0;10151
144;"Windschutzscheibe erneuert";0,00;0,00;0;10005
145;"Windschutzscheibue";1,00;361,50;0;10005
146;"Scheibeneinklebeset";1,00;83,00;0;10005
147;"Rückleuchte";1,00;78,90;0;10006
148;"ljklkjlkgjlskdjl";1,00;52,00;0;
149;"Mittelschalldämpfer erneuert";0,00;0,00;0;10009
150;"Mittelschalldämpfer";1,00;248,00;0;10009
151;;0,00;0,00;0;10009
152;"Traggelenk vorn links erneuert
t";0,00;0,00;0;10010
153;;0,00;0,00;0;10010
154;"Traggelenk
Traggelenk";1,00;84,90;0;10010
155;;;;;10010
156;;;;0;10010
157;;;;0;10010
158;;;;0;10010
159;"Endschalldämpfer erneuert";0,00;0,00;0;10011
160;"Endschalldämpfer
Endschalldämpfer";1,00;89,00;0;10011
161;"Endschalldämpfer erneuert";0,00;0,00;0;10012
162;"Endschalldämpfer";1,00;89,00;0;10012
163;"Endschalldämpfer erneuert";0,00;0,00;0;10013
164;"Endschalldämpfer";1,00;89,00;0;10013
165;"Endschalldämpfer erneuert";0,00;0,00;0;10013
166;;;;0;10010
167;;;;0;10010
168;;;;0;10010
169;;;0,00;0;10010
170;"Fahrzeug TÜV fertiggestellt und vorgeführt";0,00;0,00;0;10014
171;"AU ausgeführt";0,00;0,00;0;10014
172;"Bremsen hinten gereinigt und eingestellt";0,00;0,00;0;10014
173;"TÜV-Gebühr";1,00;75,86;0;10014
174;"AU";1,00;55,00;0;10014
175;;0,00;0,00;0;10014
176;"Bremsklötze hinten erneuert";0,00;0,00;0;10015
177;"Reifen erneuert und gewuchtet";0,00;0,00;0;10015
178;"Motoröl und Filter gewechselt";0,00;0,00;0;10015
179;"Bremsklötze";1,00;85,58;0;10015
180;"Reifen Uniroyal 205/60R1591H";4,00;119,00;0;10015
181;"Motoröl 10/40";6,50;11,50;0;10015
182;"Ölfilter";1,00;13,00;0;10015
183;"Wuchten und Montage";4,00;10,00;0;10015
184;"Windschutzscheibe";1,00;275,00;0;10016
185;"Windschutzscheibenzierleiste";1,00;26,35;0;10016
186;"Scheibeneinklebeset";1,00;94,00;0;10016
187;"Altglasentsorgung";1,00;12,00;0;10016
188;"Windschutzscheibe erneuert";0,00;0,00;0;10016
189;;0,00;0,00;0;10016
190;"uhklsdagcf";1,00;123,00;0;10017
191;"Scheinwerfer
Scheinwerfer rechts";1,00;348,00;0;10018
192;"Blinkleuchte";1,00;69,00;0;10018
193;"Scheinwerfer und Blinkleuchte rechts erneuern";0,00;0,00;0;10018
194;"Endschalldämpfer

Endschalldämpfer";1,00;168,00;0;10019
195;"Antenne";1,00;24,50;0;10019
196;"Stoßfänger";1,00;333,00;0;10020
197;"Blinkleuchte";1,00;43,50;0;10020
198;"Frontgitter";1,00;78,00;0;10020
199;"Blinkleuchte vorn rechts erneuert";0,00;0,00;0;10020
200;"Stoßfänger vorn erneuert und lackiert";0,00;0,00;0;10020
201;"Fühler
Fühler";1,00;18,90;0;10022
202;"Wischblatt";1,00;14,00;0;10022
203;"Temparaturfgühler geprüft und erneuert";0,00;0,00;0;10022
204;"Wischerarm eingestellt";0,00;0,00;0;10022
205;"Steuerriemen und Spannrollen erneuert";0,00;0,00;0;10023
206;"Steuerriemensatz";1,00;295,00;0;10023
207;;;0,00;0;10023
208;;;0,00;0;10023
209;"Motoröl
Motoröl";4,50;10,50;0;10026
210;"Ölfilter";1,00;14,80;0;10026
211;"Zündkerzen";4,00;12,80;0;10026
212;"Luftfilter";1,00;24,80;0;10026
213;"Reiniger Waschanlage";1,00;3,80;0;10026
214;"Wischerblätter";1,00;29,00;0;10026
215;"Motoröl und Filter gewechselt";0,00;0,00;0;10026
216;"Inspektion ausgeführt";0,00;0,00;0;10026
217;"Windschutzscheibe erneuert";0,00;0,00;0;10027
218;"Scheibeneinklebeset";1,00;88,00;0;10027
219;"Windschutzscheibengummi";1,00;78,00;0;10027
220;"Windschutzscheibe mit Blaukeil";1,00;266,80;0;10027
1613;"Kupplungskit";1,00;359,00;0;10321
1614;"Motoröl";3,25;10,50;0;10321
1615;"Ölfilter";1,00;8,90;0;10321
1616;"Abgasreinigungssystem eingebaut u. eingestellt";0,00;0,00;0;10322
1617;"Katalysator auf Funktion geprüft";0,00;0,00;0;10322
1618;"Anlasser ausgebaut und instandgesetzt";0,00;0,00;0;10323
1619;"Anlasserkohlen
Anlasserkohlen";1,00;14,80;0;10323
1620;"Inspektion ausgeführt";0,00;0,00;0;10324
1621;"Reifen vorn geprüft und erneuert";0,00;0,00;0;10324
1622;"Zündkerzen erneuert";0,00;0,00;0;10324
1623;"Motoröl und Filter gewechselt";0,00;0,00;0;10324
1624;"Motoröl";3,50;11,50;0;10324
1625;"Ölfilter";1,00;8,90;0;10324
1626;"Zündkerzen";4,00;8,90;0;10324
1627;"Reiniger für Waschanlage";1,00;3,80;0;10324
1628;"Reifen 175/70R13";2,00;76,00;0;10324
1629;"Wuchten und Montage";2,00;12,00;0;10324
1630;"Fahrzeug TÜV fertiggestellt und vorgeführt";0,00;0,00;0;10325
1631;"AU ausgeführt";0,00;0,00;0;10325
1632;"Achsmanschette vorn links erneuert";0,00;0,00;0;10325
1633;"Mittelschalldämpfer erneuert";1,00;152,00;0;10325
1634;"Blinkleuchte";1,00;49,00;0;10325
1635;"Rückleuchte";1,00;80,70;0;10325
1636;"Bremsklötze";1,00;165,00;0;10325
1637;"Achsmanschettensatz";1,00;22,00;0;10325
1638;"Spiegelglas";2,00;44,00;0;10325
1639;"Reifen (Semperit 205/65R15Reinforce)";2,00;123,00;0;10325
1640;"TÜV-Gebühr GTÜ";1,00;69,83;0;10325
1641;"AU";1,00;50,00;0;10325
1642;"Startschwierigkeiten beseitigt";0,00;0,00;0;10326
1643;"Glühkerzen geprüft und erneuert";0,00;0,00;0;10327
1644;"Motoröl und Filter gewechselt";0,00;0,00;0;10327
1645;"Glühkerzen";6,00;27,50;0;10327
1646;"Motoröl";6,50;11,50;0;10327
1647;"Ölfilter";1,00;12,80;0;10327
1648;"Fahrzeug TÜV fertiggestellt und vorgeführt";0,00;0,00;0;10328
1649;"AU ausgeführt";0,00;0,00;0;10328
1650;"Bremsscheiben und Bremsklötze vorn erneuert";0,00;0,00;0;10328
1651;"Achsmanschette vorn rechts erneuert";0,00;0,00;0;10328
1652;"Batterie geprüft und erneuert";0,00;0,00;0;10328
1653;"Wischblätter vorn erneuert";0,00;0,00;0;10328
1654;"Bremse hinten gereinigt und eingestellt";0,00;0,00;0;10328
1655;"Bremsklötze";1,00;39,00;0;10328
1656;"Bremsscheiben";2,00;46,00;0;10328
1657;"Achsmanschettensatz";1,00;24,50;0;10328
1658;"Wischblätter";2,00;12,90;0;10328
1659;"Batterie 12V44AH";1,00;72,00;0;10328
1660;"AU";1,00;26,00;0;10328
1661;"TÜV-Gebühr GTÜ";1,00;68,97;0;10328
1662;"Reifen erneuert und gewuchtet";0,00;0,00;0;10329
1663;"Reifen 195/65R15 Reinforce Conti Ct22";3,00;128,00;0;10329
1664;"Wuchten und Montage";3,00;12,00;0;10329
1665;"AU";1,00;50,00;0;10329
1666;"Inspektion ausgeführt";0,00;0,00;0;10330
1667;"Hecklappengummi erneuert";0,00;0,00;0;10330
1668;"Motoröl und Filter gewechselt";0,00;0,00;0;10330
1669;"Motoröl 10/40";4,80;11,50;0;10330
1670;"Ölfilter";1,00;14,80;0;10330
1671;"Inenraumfilter";1,00;22,00;0;10330
1672;"Luftfilter";1,00;28,00;0;10330
1673;"Hecklapengummi";1,00;89,00;0;10330
1674;"Endschalldämpfer geschweißt";0,00;0,00;0;10331
1675;"Motoröl und Filter gewechselt";0,00;0,00;0;10331
1676;"Reifen vorn erneuert und gewuchtet";0,00;0,00;0;10331
1677;"Motoröl";4,50;10,50;0;10331
1678;"Ölfilter";1,00;17,80;0;10331
1679;"Reifen Lassa 165R13T";2,00;59,00;0;10331
1680;"Wuchten und Montage";2,00;12,00;0;10331
221;"Fehlerspeicher ausgelesen";0,00;0,00;0;10042
222;"Reifen Fulda 185/60R14H";2,00;82,00;0;10045
223;"Batterie 12V44AH";1,00;68,00;0;10045
224;"Motoröl";4,00;10,50;0;10045
225;"Ölfilter";1,00;8,90;0;10045
226;"Zündkerzen";4,00;8,60;0;10045
227;"Frostschutz  Waschanl.";1,00;3,80;0;10045
228;"AU";1,00;45,00;0;10045
229;"Bremsklötze";1,00;123,00;0;10046
230;"Bremse hinten gereinigt
Bremse hinten gereinigt";0,00;0,00;0;10046
231;"Bremssattel vorn rechts gangbar gemacht";0,00;0,00;0;10046
232;"Bremsklötze vorn erneuert";0,00;0,00;0;10046
233;"Wischblättersatz vorn";1,00;33,00;0;10047
234;"Zündkerzen";4,00;7,90;0;10047
235;"Birne 12V21 w";1,00;2,10;0;10047
236;"TÜV-Gebühr";1,00;75,86;0;10047
237;"AU";1,00;42,00;0;10047
238;"Wuchten und Montage";2,00;12,50;0;10047
239;"Reifen (Kelly175/65R13T)";2,00;82,00;0;10047
240;"Reifen vorn erneuert und gewuchtet";0,00;0,00;0;10047
241;"Zündkerzen geprüft und erneuert";0,00;0,00;0;10047
242;"Fahrzeug TÜV vorgeführt";0,00;0,00;0;10047
243;"AU ausgeführt";0,00;0,00;0;10047
244;"Wischblätter vorn erneuert";0,00;0,00;0;10047
245;"Auspuffdichtung";1,00;8,90;0;10053
246;"Stehbolzen";1,00;2,45;0;10053
247;"Stehbolzen ausgebohrt und erneuert";0,00;0,00;0;10053
248;"Auspuffkrümmerdichtung erneuert";0,00;0,00;0;10053
249;"Wuchten und Montage";2,00;12,50;0;10054
250;"Reifen (Vredestein 225/6015H M&S Wintrac)
Reifen (Vredestein Wintrac 225/60R15H  M&S)";2,00;260,00;0;10054
251;"Reifen hinten erneuert und gewuchtet";0,00;0,00;0;10054
252;"Bremsklötze
Bremsklötze";1,00;78,00;0;10055
253;"Ölfilter";1,00;12,80;0;10055
254;"Motoröl";3,50;11,50;0;10055
255;"Zündkerzen
Zündkerzen";4,00;5,40;0;10055
256;"Kühlerfrostschutz";1,00;6,00;0;10055
257;"Scheibenreiniger und Frostschutz";1,00;2,80;0;10055
258;"Birne 12V 5W";1,00;2,20;0;10055
259;"Fahrzeug Winterfest gestellt";0,00;0,00;0;10055
260;"Zündanlage geprüft und instandgesetzt";0,00;0,00;0;10055
261;"Fahrzeugdurchsicht ausgeführt";0,00;0,00;0;10055
262;"Motoröl und Filter gewechselt";0,00;0,00;0;10055
263;"Bremsklötze vorn erneuert";0,00;0,00;0;10055
264;"Gaszug";1,00;52,60;10;10056
265;"Wuchten und Montage
Wuchten und Montage";4,00;12,50;0;
266;"Reifen (Bridgestone 195/70R15C)";4,00;125,00;0;
267;"Reifen erneuert und gewuchtet";0,00;0,00;0;
268;"-";;0,00;0;
269;"Wuchten und Montage";4,00;12,50;0;10059
270;"Reifen (Bridgestone 195/70R15C)";4,00;125,00;0;10059
271;"Reifen erneuert und gewuchtet";0,00;0,00;0;10059
272;"Frostschutz (Waschanl.)";1,00;3,20;0;10060
273;"Kühlerfrostschutz";1,00;6,20;0;10060
274;"Schlauch";1,00;11,45;0;10060
275;"Schlauch";1,00;12,40;0;10060
276;"Startautomatik";1,00;113,00;0;10060
277;"Fahrzeug Winterfest gestellt";0,00;0,00;0;10060
278;"Wasserverlust geprüft";0,00;0,00;0;10060
279;"Startautomatik mit Schläuchen erneuert
Startautomatik mit Schläuchen erneuert";0,00;0,00;0;10060
280;"Reifen (Fulda 185/60R14)";4,00;91,00;0;10061
281;"Wuchten und Montage";4,00;12,00;0;10061
282;"Schaltung instandgesetzt (kostenlos)";0,00;0,00;0;10061
283;"elektrische Schiebedach geprüft";0,00;0,00;0;10061
284;"Reifen geprüft und erneuert";0,00;0,00;0;10061
285;"V.D.Dichtung";1,00;6,90;0;10062
286;"Kühlerfrostschutz";1,00;5,70;0;10062
287;"Fahrzeug Winterfest gestellt";0,00;0,00;0;10062
288;"Sicherungskasten geprüft und instandgesetzt";0,00;0,00;0;10062
289;"Ventilspiel geprüft und eingestellt";0,00;0,00;0;10062
290;"Reifen (Lassa 195/70R15)";4,00;95,00;0;10063
291;"Wuchten und Montage (incl.Ventile)";4,00;12,50;0;10063
292;"Winterreifen aufgezogen und gewuchtet";0,00;0,00;0;10063
293;"AU";1,00;50,00;0;10064
294;"TÜV-Gebühr";1,00;75,86;0;10064
295;"Reifen (Lassa 175/70R13T)";2,00;69,00;0;10064
296;"Wuchten und Montage";2,00;13,00;0;10064
297;"Reifen vorn erneuert und gewuchtet";0,00;0,00;0;10064
298;"AU ausgeführt";0,00;0,00;0;10064
299;"Fahrzeug TÜV fertiggestellt und vorgeführt";0,00;0,00;0;10064
300;"TÜV-Gebühr";1,00;75,86;0;10066
301;"AU";1,00;44,00;0;10066
302;"Fahrzeug TÜV vorgeführt";0,00;0,00;0;10066
303;"AU ausgeführt";0,00;0,00;0;10066
304;"Reifen (Lassa 155/70R13T)
Re";;0,00;0;
305;"Reifen 155/70R13T)";4,00;63,00;0;10067
306;"Wuchten und Montage";4,00;13,00;0;10067
307;"Auspuffmittelrohr";1,00;69,00;0;10067
308;"Wischblätter vorn";1,00;32,00;0;10067
309;"Wischblätter hinten";1,00;12,50;0;10067
310;"Thermoschalter";1,00;26,00;0;10067
311;"Traggelenk";1,00;38,00;0;10067
312;"Reifen erneuert und gewuchtet";0,00;0,00;0;10067
313;"Wischblätter vorn und hinten erneuert";0,00;0,00;0;10067
314;"Thermoschalter erneuert
Thermoschalter erneuert";0,00;0,00;0;10067
315;"Auspuffmittelrohr erneuert";0,00;0,00;0;10067
316;"Traggelenk vorn links erneuert";0,00;0,00;0;10067
317;"---";0,00;0,00;0;10067
318;"l";0,00;0,00;0;10067
319;"Motoröl 10/40";5,50;13,50;0;10068
320;"Ölfilter";1,00;14,00;0;10068
321;"Scheibenreiniger und Frostschutz";1,00;5,50;0;10068
322;"Traggelenk";1,00;48,00;0;10068
323;"Traggelenk";1,00;38,00;0;10068
324;"Ölservice ausgeführt";0,00;0,00;0;10068
325;"Fahrzeug Winterfest gestellt";0,00;0,00;0;10068
326;"Traggelenke vorn rechts erneuert";0,00;0,00;0;10068
327;"Ölfilter
Ölfilter";1,00;16,00;0;10069
328;"Motoröl";3,50;11,50;0;10069
329;"Birne 12V 21/5W";1,00;2,80;0;10069
330;"Halbwelle links geschmiert
Halbwelle vorn geschmiert";0,00;0,00;0;10069
331;"Motoröl und Filter gewechselt";0,00;0,00;0;10069
332;"Ansaugkrümmerdichtung erneuert";0,00;0,00;0;10069
333;"Winterreifen aufgezogen und gewuchtet";4,00;19,00;0;10070
334;"Bremsklötze";1,00;64,80;0;10071
335;"Bremsklötze vorn erneuert";0,00;0,00;0;10071
336;"Bremsklötze vorn";1,00;137,00;15;10072
337;"AU";1,00;40,00;0;10072
338;"TÜV-Gebühr";1,00;75,86;0;10072
339;"Winterreifen (Uni 205/65R15H)";2,00;169,00;0;10072
340;"Lichtanlage geprüft und instandgesetzt";0,00;0,00;0;10072
341;"AU ausgeführt";0,00;0,00;0;10072
342;"Reifen gewechselt und vorn erneuert u. gwuchtet";0,00;0,00;0;10072
343;"Fahrzeug TÜVfertiggestellt  und vorgeführt";0,00;0,00;0;10072
344;"ASU ausgeführt";1,00;25,00;0;10073
345;"Motor geprüft und gebrauchten Motor eingebaut";1,00;689,66;0;10073
346;"Ölfilter
Ölfiterl
Ölfilter";1,00;8,90;0;10074
347;"Motoröl";3,50;12,50;0;10074
348;"Frostschutz (Waschanl.)
Frostschutz (Waschanlage)";2,00;2,00;0;10074
